GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,0021800015,7,202322,John Wall,1610612764,Washington Wizards,1,11,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20181018,WAS,MIA,2018-19
Shot Chart Detail,0021800015,10,202322,John Wall,1610612764,Washington Wizards,1,11,18,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,150,205,1,1,20181018,WAS,MIA,2018-19
Shot Chart Detail,0021800015,15,202693,Markieff Morris,1610612764,Washington Wizards,1,10,48,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-52,96,1,0,20181018,WAS,MIA,2018-19
Shot Chart Detail,0021800015,18,202322,John Wall,1610612764,Washington Wizards,1,10,12,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-43,153,1,0,20181018,WAS,MIA,2018-19
Shot Chart Detail,0021800015,24,203078,Bradley Beal,1610612764,Washington Wizards,1,9,40,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,139,13,1,1,20181018,WAS,MIA,2018-19
Shot Chart Detail,0021800015,36,202322,John Wall,1610612764,Washington Wizards,1,8,43,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,1,1,1,20181018,WAS,MIA,2018-19
Shot Chart Detail,0021800015,40,203078,Bradley Beal,1610612764,Washington Wizards,1,8,24,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,-5,1,0,20181018,WAS,MIA,2018-19
Shot Chart Detail,0021800015,48,202693,Markieff Morris,1610612764,Washington Wizards,1,7,53,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,-76,122,1,0,20181018,WAS,MIA,2018-19
Shot Chart Detail,0021800015,63,203490,Otto Porter Jr.,1610612764,Washington Wizards,1,7,13,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-11,152,1,0,20181018,WAS,MIA,2018-19
Shot Chart Detail,0021800015,69,202693,Markieff Morris,1610612764,Washington Wizards,1,6,36,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,95,67,1,0,20181018,WAS,MIA,2018-19
Shot Chart Detail,0021800015,71,101133,Ian Mahinmi,1610612764,Washington Wizards,1,6,32,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-29,43,1,1,20181018,WAS,MIA,2018-19
Shot Chart Detail,0021800015,74,202322,John Wall,1610612764,Washington Wizards,1,6,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-209,155,1,0,20181018,WAS,MIA,2018-19
